Cytometer Configuration,,,,,,,,,,,,,,,,,,,,,,
Software Version,BD FACSDiva 6.1.2,,,,,,,,,,,,,,,,,,,,,
Export Time,6/4/10 9:59,,,,,,,,,,,,,,,,,,,,,
User,,,,,,,,,,,,,,,,,,,,,,
Cytometer,LSRII,,,,,,,,,,,,,,,,,,,,,
Serial Number,H47100227,,,,,,,,,,,,,,,,,,,,,
Configuration Name,Copy of Stanford SORP LSR II WE 10,,,,,,,,,,,,,,,,,,,,,
Folder Name,Stanford SORPLSR II WE 10,,,,,,,,,,,,"Added test data for photoelectron scaing, PMT exponents and Std 197 bead values",,,,,,,,,
Comments,,,,,,,,,,,,,Data from ,100629 LSRII2 LEDa.jo,,via ,100629 LSRII2 LEDa.xls,,,,,
Window Extension,6,,,,,,,,,,,,,,,,,,,,(1-15),(1-13)
Laser Name,Type,Wavelength,Power,Detector Array,Detector,Channel,Mirror,Filter,Parameter,Fsc Channel,Reference,Position,Label used,ref AreaSc,ref PMTV,PMT exponent,pe-/unit est,197 Median,197pe- est,197 RCV,PMTV 0 SD,PMTon NoSigSD
Red,Red,640,40,Trigon,A,14,735 LP,780/60 BP,APC-Cy7,,,3,APC-Cy7-A,0.96,520,7.69,0.053,2426,128,11.1,11.4,34.9
,,,,,B,13,685 LP,730/45 BP,Alexa Fluor 700,,,,APC-Cy5-5-A,0.96,495,7.55,0.079,4292,340,8.29,11,16.6
,,,,,,,,,APC-Cy5-5,,,,,,,,,,,,,
,,,,,,,,,Cy55,,,,,,,,,,,,,
,,,,,C,12,,670/30 BP,APC,,,,APC-A,0.96,505,7.48,0.188,9429,1770,6.51,13.4,15.6
,,,,,,,,,Alexa Fluor 647,,,,,,,,,,,,,
,,,,,,,,,Cy5,,,,,,,,,,,,,
Blue,Custom,488,50,Trigon,A,3,670 LP,685/35 BP,PerCP,0,Y,1,PerCP-Cy5-5-A,1.11,518,7.5,0.143,4329,619,4.43,14.5,15.9
,,,,,,,,,PerCP-Cy5-5,,,,FSC-A,0.89,,,FSC,95444,,1.23,,
,,,,,B,2,505 LP,525/50 BP,Alexa Fluor 488,,,,FITC-A,1.11,405,7.45,0.578,4988,2882,2.32,12,14.5
,,,,,,,,,FITC,,,,,,,,,,,,,
,,,,,,,,,GFP,,,,,,,,,,,,,
,,,,,,,,,Biodipy,,,,,,,,,,,,,
,,,,,,,,,CSFE,,,,,,,,,,,,,
,,,,,C,1,,488/10 BP,SSC,,,,SSC-A,1.11,,,SSC,77479,,3.36,,
Violet,Custom,405,50,Octagon,A,11,735 LP,780/60 BP,Qdot 800,,,2,Qdot 800-A,1.12,450,7.68,0.13,222,29,20.6,13.1,16.2
,,,,,B,10,685 LP,710/50 BP,Qdot 705,,,,Qdot 705-A,1.12,475,7.49,0.17,1279,218,8.19,13.7,14.8
,,,,,C,9,635 LP,660/40 BP,Qdot 655,,,,Qdot 655-A,1.12,491,7.36,0.314,728,229,7.88,12.4,12.8
,,,,,D,8,595 LP,610/20 BP,Qdot 605,,,,Qdot 605-A,1.12,440,7.57,0.291,3170,922,5.12,14.6,14.1
,,,,,E,7,570 LP,585/42 BP,Qdot 585,,,,Qdot 585-A,1.12,415,7.6,0.389,5979,2324,4.46,13.7,14
,,,,,F,6,557 LP,560/20 BP,Qdot 565,,,,Pacific Orange-A,1.12,520,7.21,0.167,9384,1564,4.59,12.4,13.3
,,,,,,,,,Pacific Orange,,,,,,,,,,,,,
,,,,,G,5,505 LP,525/50 BP,AmCyan,,,,Violet Green-A,1.12,375,7.66,0.925,9579,8860,3.88,12.5,14.6
,,,,,,,,,Aqua Amine,,,,,,,,,,,,,
,,,,,,,,,Violet Green,,,,,,,,,,,,,
,,,,,H,4,,450/50 BP,Alexa Fluor 405,,,,Pacific Blue-A,1.12,390,7.47,1.157,12963,14998,4.8,13.9,20.1
,,,,,,,,,Cascade Blue,,,,,,,,,,,,,
,,,,,,,,,CFP,,,,,,,,,,,,,
,,,,,,,,,DAPI,,,,,,,,,,,,,
,,,,,,,,,Hoechst,,,,,,,,,,,,,
,,,,,,,,,Pacific Blue,,,,,,,,,,,,,
Green,Custom,532,150,Octagon,A,19,735 LP,780/60 BP,PE-Cy7,,,4,PE-Cy7-A,0.98,410,7.71,0.38,1829,700,4.71,15.3,26.2
,,,,,B,18,685 LP,710/50 BP,PE-Cy55,,,,PE-Cy55-A,0.98,435,7.43,0.512,6133,3140,2.85,11.4,11.7
,,,,,C,17,635 LP,660/20 BP,PE-Cy5,,,,PE-Cy5-A,0.98,400,7.43,0.705,7823,5514,2.57,10.5,18.6
,,,,,,,,,PI,,,,,,,,,,,,,
,,,,,,,,,7-AAD,,,,,,,,,,,,,
,,,,,D,16,600 LP,610/20 BP,dtTomato,,,,PE-Texas-Red-A,0.98,370,7.5,1.181,16634,19648,2.16,14.4,26.2
,,,,,,,,,mCherry,,,,,,,,,,,,,
,,,,,,,,,mRFP,,,,,,,,,,,,,
,,,,,,,,,PE-Texas-Red,,,,,,,,,,,,,
,,,,,E,15,570 LP,582/15 BP,PE,,,,PE-A,0.98,380,7.41,0.754,35133,26491,1.92,11.9,13
,,,,,,,,,Cy3,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,,
,,,,,G,,,,,,,,,,,,,,,,,
,,,,,H,,,,,,,,,,,,,,,,,
