Cytometer Configuration,,,,,,,,,,,,,,,,,,,,,,
Software Version,BD FACSDiva 6.1,,,,,,,,,,,,,,,,,,,,,
Export Time,6/3/10 11:46,,,,,,,,,,,,,,,,,,,,,
User,,,,,,,,,,,,,,,,,,,,,,
Cytometer,LSRII,,,,,,,,,,,,,,,,,,,,,
Serial Number,1,,,,,,,,,,,,,,,,,,,,,
Configuration Name,20080928,,,,,,,,,,,,,,,,,,,,,
Folder Name,20080928,,,,,,,,,,,,"Added test data for photoelectron scaing, PMT exponents and Std 197 bead values",,,,,,,,,
Comments,,,,,,,,,,,,,Data from ,100609 LEDtestA.jo,,via,100609 LEDtestC.xls,,,,,
Window Extension,6,,,,,,,,,,,,,,,,,,,,(1-18),(1-8)
Laser Name,Type,Wavelength,Power,Detector Array,Detector,Channel,Mirror,Filter,Parameter,Fsc Channel,Reference,Position,Label used,ref AreaSc,ref PMTV,PMT exponent,pe-/unit est,197 Median,197pe- est,197 RCV,PMTV 0 SD,PMTon NoSigSD
Blue,Blue,488,50,Trigon,A,3,550 LP,710/50 BP,PerCP-Cy5-5,0,Y,1,PerCP-Cy5-5-A,0.82,446,7.65,0.188,5267,992,4.15,10.3,15.7
,,,,,B,2,505 LP,515/20 BP,Alexa Fluor 488,,,,FITC-A,0.82,356,7.69,0.836,4916,4112,2.49,10.5,13.4
,,,,,,,,,FITC,,,,,,,,,,,,,
,,,,,,,,,GFP,,,,,,,,,,,,,
,,,,,,,,,Bodipy,,,,,,,,,,,,,
,,,,,,,,,CFSE,,,,,,,,,,,,,
,,,,,C,1,,488/10 BP,SSC,,,,,,,,,,,,,
Violet,Violet,405,50,Octagon,A,11,740 LP,780/60 BP,QDot 800,,,2,QDot 800-A,1.32,505,7.50,0.090,320,29,20.1,18.7,25.6
,,,,,B,10,670 LP,710/50 BP,QDot 705,,,,QDot 705-A,1.32,495,7.58,0.201,965,194,8.44,23.1,48.3
,,,,,C,9,630 LP,660/40 BP,QDot 655,,,,QDot 655-A,1.32,476,7.60,0.192,1584,305,6.77,23.3,31
,,,,,D,8,595 LP,605/40 BP,QDot 605,,,,QDot 605-A,1.32,389,7.58,0.287,4401,1261,4.19,17.1,26
,,,,,E,7,570 LP,585/42 BP,QDot 585,,,,QDot 585-A,1.32,405,7.48,0.356,7399,2637,3.48,17.3,20.4
,,,,,F,6,535 LP,560/40 BP,Qdot 565,,,,Pacific Orange-A,1.32,427,7.38,0.385,11070,4259,3.19,18.6,36.4
,,,,,,,,,Pacific Orange,,,,,,,,,,,,,
,,,,,G,5,495 LP,515/20 BP,AmCyan,,,,Violet Green-A,1.32,451,7.58,0.453,12176,5515,3.01,15.9,18.2
,,,,,,,,,Aqua Amine,,,,,,,,,,,,,
,,,,,,,,,Violet Green,,,,,,,,,,,,,
,,,,,H,4,,450/50 BP,Alexa Fluor 405,,,,Pacific Blue-A,1.32,349,7.61,0.702,15541,10915,4.07,16.4,37.2
,,,,,,,,,Cascade Blue,,,,,,,,,,,,,
,,,,,,,,,CFP,,,,,,,,,,,,,
,,,,,,,,,DAPI,,,,,,,,,,,,,
,,,,,,,,,Hoechst,,,,,,,,,,,,,
,,,,,,,,,Pacific Blue,,,,,,,,,,,,,
,,,,,,,,,DyeCycle Violet,,,,,,,,,,,,,
Red,Red,639,40,Trigon,A,14,740 LP,780/60 BP,APC-Cy7,,,3,APC-Cy7-A,0.65,498,7.73,0.101,2936,295,9.09,9.26,42.6
,,,,,B,13,685 LP,710/50 BP,Alexa Fluor 700,,,,APC-Cy5-5-A,0.65,455,7.60,0.422,4234,1789,6.89,10.4,28.7
,,,,,,,,,APC-Cy5-5,,,,,,,,,,,,,
,,,,,,,,,Cy55,,,,,,,,,,,,,
,,,,,C,12,,660/20 BP,APC,,,,APC-A,0.65,444,7.74,0.273,9708,2652,6.54,9.85,13.2
,,,,,,,,,Alexa Fluor 647,,,,,,,,,,,,,
,,,,,,,,,Cy5,,,,,,,,,,,,,
Green,Custom,532,150,Octagon,A,19,740 LP,780/60 BP,PE-Cy7,,,4,PE-Cy7-A,0.63,391,7.64,0.603,2029,1223,3.72,9.26,10
,,,,,B,18,690 LP,710/50 BP,PE-Cy5-5,,,,PE-Cy5-5-A,0.63,343,7.64,1.152,6645,7652,2.46,9.14,8
,,,,,C,17,640 LP,670/14 BP,PE-Cy5,,,,PE-Cy5-A,0.63,381,7.54,0.824,8854,7293,2.44,7.88,9.47
,,,,,,,,,7-AAD,,,,,,,,,,,,,
,,,,,D,16,600 LP,610/20 BP,mCherry,,,,PE-Texas-Red-A,0.63,413,7.35,2.715,18059,49031,2.03,8.33,9.14
,,,,,,,,,mRFP,,,,,,,,,,,,,
,,,,,,,,,PE-Texas-Red,,,,,,,,,,,,,
,,,,,E,15,,575/25 BP,PE,,,,PE-A,0.63,339,7.51,1.678,36346,61006,1.83,8.74,12.1
,,,,,,,,,Cy3,,,,,,,,,,,,,
,,,,,F,,,,,,,,,,,,,,,,,
,,,,,G,,,,,,,,,,,,,,,,,
,,,,,H,,,,,,,,,,,,,,,,,
