x	y		
1.6839993	9.905153		
2.0068984	0.035172105		
2.345533	0.14609993		
4.148158	1.2082952		
0.36108613	8.522375		
1.835013	3.7177224		
8.738472	2.4518304		
9.745382	9.655601		
4.148158	1.2082952		
9.857284	0.32649457		
9.309748	6.4887342		
1.6839993	9.905153		
8.738472	2.4518304		
4.148158	1.2082952		
3.4682703	5.209947		
3.3229918	8.365402		
0.36108613	8.522375		
9.745382	9.655601		
7.389741	5.8858232		
5.9612823	4.5637555		
5.4741383	4.546165		
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
