x1	y1	x2	y2
1.6839993	9.905153	3.4682703	5.209947
4.148158	1.2082952	7.389741	5.8858232
4.148158	1.2082952	0.36108613	8.522375
3.4682703	5.209947	1.6839993	9.905153
7.389741	5.8858232	4.148158	1.2082952
0.36108613	8.522375	4.148158	1.2082952
7.389741	5.8858232	8.738472	2.4518304
0.36108613	8.522375	3.4682703	5.209947
8.738472	2.4518304	7.389741	5.8858232
1.6839993	9.905153	0.36108613	8.522375
7.389741	5.8858232	1.6839993	9.905153
3.4682703	5.209947	7.389741	5.8858232
4.148158	1.2082952	8.738472	2.4518304
