x1	y1	x2	y2			
8.832172	0.051580667	9.534422	0.02661705			
1.3691354	0.25194108	2.0068984	0.035172105			
2.1759205	0.38505077	2.0068984	0.035172105			
1.0217273	0.5504775	2.0068984	0.035172105			
2.1320395	0.803625	2.0068984	0.035172105			
1.3454342	1.1270589	2.0068984	0.035172105			
1.835013	3.7177224	2.0068984	0.035172105			
1.8772095	5.1949587	2.0068984	0.035172105			
2.1759205	0.38505077	2.345533	0.14609993			
2.5257092	1.3549423	2.345533	0.14609993			
3.6652672	2.2435732	2.345533	0.14609993			
2.0750368	4.7335253	2.345533	0.14609993			
9.534422	0.02661705	9.857284	0.32649457			
9.597727	0.37622035	9.857284	0.32649457			
8.120027	0.5913323	9.857284	0.32649457			
9.4511595	0.723685	9.857284	0.32649457			
9.286373	1.7212939	9.857284	0.32649457			
2.1320395	0.803625	2.1759205	0.38505077			
3.3097105	0.18206239	4.815436	0.4956287			
1.3691354	0.25194108	1.0217273	0.5504775			
8.832172	0.051580667	8.120027	0.5913323			
9.597727	0.37622035	9.4511595	0.723685			
6.122055	1.1037982	9.4511595	0.723685			
1.7606646	8.077294	2.1320395	0.803625			
6.1364784	1.497581	6.122055	1.1037982			
1.0217273	0.5504775	1.3454342	1.1270589			
0.32706976	1.6871548	1.3454342	1.1270589			
3.3097105	0.18206239	4.148158	1.2082952			
8.120027	0.5913323	4.148158	1.2082952			
4.7907743	1.2445879	4.148158	1.2082952			
5.783095	2.0996575	4.148158	1.2082952			
4.854674	3.2437057	4.148158	1.2082952			
3.542242	3.3397646	4.148158	1.2082952			
6.4845963	3.9413655	4.148158	1.2082952			
3.3733172	4.080916	4.148158	1.2082952			
5.4741383	4.546165	4.148158	1.2082952			
5.9612823	4.5637555	4.148158	1.2082952			
6.7657843	4.8707604	4.148158	1.2082952			
3.8138347	5.071868	4.148158	1.2082952			
9.597727	0.37622035	4.7907743	1.2445879			
6.122055	1.1037982	4.7907743	1.2445879			
6.1364784	1.497581	4.7907743	1.2445879			
2.9555564	2.0703812	2.5257092	1.3549423			
2.7889996	3.4564447	2.5257092	1.3549423			
2.2279234	4.4670196	2.5257092	1.3549423			
2.0750368	4.7335253	2.5257092	1.3549423			
9.258021	2.2232752	9.61587	1.6574562			
2.7889996	3.4564447	2.9555564	2.0703812			
6.593398	3.0829465	5.783095	2.0996575			
6.4845963	3.9413655	5.783095	2.0996575			
2.9555564	2.0703812	3.6652672	2.2435732			
3.542242	3.3397646	3.6652672	2.2435732			
2.661076	5.688595	3.6652672	2.2435732			
4.7907743	1.2445879	8.738472	2.4518304			
6.1364784	1.497581	8.738472	2.4518304			
9.61587	1.6574562	8.738472	2.4518304			
9.286373	1.7212939	8.738472	2.4518304			
9.258021	2.2232752	8.738472	2.4518304			
6.593398	3.0829465	8.738472	2.4518304			
6.5114937	3.2817297	8.738472	2.4518304			
8.971436	3.303734	8.738472	2.4518304			
7.9749393	6.4911036	8.738472	2.4518304			
9.282214	6.8769903	8.738472	2.4518304			
8.18535	9.083229	8.738472	2.4518304			
6.593398	3.0829465	6.5114937	3.2817297			
9.258021	2.2232752	9.345869	3.4196925			
8.971436	3.303734	9.345869	3.4196925			
9.407344	4.3014364	9.345869	3.4196925			
9.992172	5.262677	9.345869	3.4196925			
4.854674	3.2437057	4.1710324	3.517102			
5.21965	4.3694334	4.1710324	3.517102			
1.4361811	4.098081	0.24625361	3.5601835			
0.35153925	4.798281	0.24625361	3.5601835			
0.66197574	7.05846	0.24625361	3.5601835			
1.3236552	7.2739677	0.24625361	3.5601835			
1.4445043	7.485688	0.24625361	3.5601835			
0.32706976	1.6871548	1.835013	3.7177224			
1.4361811	4.098081	1.835013	3.7177224			
6.7657843	4.8707604	6.4845963	3.9413655			
3.160615	5.6182	3.3733172	4.080916			
1.4445043	7.485688	1.4361811	4.098081			
9.46078	6.205485	9.407344	4.3014364			
2.2624784	5.4043655	2.2279234	4.4670196			
4.854674	3.2437057	5.4741383	4.546165			
5.21965	4.3694334	5.4741383	4.546165			
4.8015347	5.229248	5.4741383	4.546165			
5.3390713	6.5827413	5.4741383	4.546165			
5.4741383	4.546165	5.9612823	4.5637555			
6.0722847	5.1002455	5.9612823	4.5637555			
6.494911	5.49615	5.9612823	4.5637555			
3.756429	5.747944	3.8138347	5.071868			
3.6467743	7.4348803	3.8138347	5.071868			
6.388546	7.3283243	6.0722847	5.1002455			
6.5038834	7.801979	6.0722847	5.1002455			
1.7606646	8.077294	1.8772095	5.1949587			
3.8138347	5.071868	3.4682703	5.209947			
3.160615	5.6182	3.4682703	5.209947			
3.756429	5.747944	3.4682703	5.209947			
2.6443815	6.679104	3.4682703	5.209947			
2.952751	7.039294	3.4682703	5.209947			
3.2497125	7.0992637	3.4682703	5.209947			
3.4634895	9.745597	3.4682703	5.209947			
5.21965	4.3694334	4.8015347	5.229248			
9.46078	6.205485	9.992172	5.262677			
2.7889996	3.4564447	2.661076	5.688595			
2.2624784	5.4043655	2.661076	5.688595			
1.7523354	9.606427	2.661076	5.688595			
6.5114937	3.2817297	7.389741	5.8858232			
6.7657843	4.8707604	7.389741	5.8858232			
6.494911	5.49615	7.389741	5.8858232			
7.238367	6.069993	7.389741	5.8858232			
7.9749393	6.4911036	7.389741	5.8858232			
7.077326	7.189748	7.389741	5.8858232			
9.282214	6.8769903	8.660317	6.095407			
9.425121	8.007821	8.660317	6.095407			
9.622626	9.588483	8.660317	6.095407			
6.388546	7.3283243	6.0654125	6.150329			
6.494911	5.49615	6.6608644	6.1791697			
7.238367	6.069993	6.6608644	6.1791697			
4.8015347	5.229248	4.497667	6.4485264			
5.3390713	6.5827413	4.497667	6.4485264			
8.971436	3.303734	9.309748	6.4887342			
9.407344	4.3014364	9.309748	6.4887342			
9.46078	6.205485	9.309748	6.4887342			
9.6036415	7.1511297	9.309748	6.4887342			
3.160615	5.6182	2.6443815	6.679104			
9.425121	8.007821	9.282214	6.8769903			
0.35153925	4.798281	0.66197574	7.05846			
2.8150475	8.412654	3.2497125	7.0992637			
9.757432	7.0653477	9.6036415	7.1511297			
7.238367	6.069993	7.077326	7.189748			
6.6608644	6.1791697	7.077326	7.189748			
6.8026066	7.5376396	7.077326	7.189748			
3.756429	5.747944	3.6467743	7.4348803			
1.3236552	7.2739677	1.4445043	7.485688			
6.6709146	8.786461	6.8026066	7.5376396			
6.0654125	6.150329	6.5038834	7.801979			
6.388546	7.3283243	6.5038834	7.801979			
6.8026066	7.5376396	6.5038834	7.801979			
6.6709146	8.786461	6.5038834	7.801979			
2.952751	7.039294	2.518199	7.953578			
2.8150475	8.412654	3.3229918	8.365402			
2.3715396	9.133831	3.3229918	8.365402			
3.4634895	9.745597	3.3229918	8.365402			
0.058466196	9.010395	0.36108613	8.522375			
7.9749393	6.4911036	8.18535	9.083229			
2.952751	7.039294	2.3715396	9.133831			
3.2497125	7.0992637	2.3715396	9.133831			
2.518199	7.953578	2.3715396	9.133831			
2.8150475	8.412654	2.3715396	9.133831			
2.2624784	5.4043655	1.7523354	9.606427			
9.309748	6.4887342	9.745382	9.655601			
9.757432	7.0653477	9.745382	9.655601			
9.6036415	7.1511297	9.745382	9.655601			
9.425121	8.007821	9.745382	9.655601			
9.622626	9.588483	9.745382	9.655601			
9.126251	9.8186865	9.745382	9.655601			
9.622626	9.588483	9.126251	9.8186865			
3.542242	3.3397646	1.6839993	9.905153			
3.3733172	4.080916	1.6839993	9.905153			
2.2279234	4.4670196	1.6839993	9.905153			
2.0750368	4.7335253	1.6839993	9.905153			
1.8772095	5.1949587	1.6839993	9.905153			
2.6443815	6.679104	1.6839993	9.905153			
0.66197574	7.05846	1.6839993	9.905153			
1.3236552	7.2739677	1.6839993	9.905153			
2.518199	7.953578	1.6839993	9.905153			
1.7606646	8.077294	1.6839993	9.905153			
0.36108613	8.522375	1.6839993	9.905153			
1.7523354	9.606427	1.6839993	9.905153			
1.6839993	9.905153	2.0068984	0.035172105			
2.0068984	0.035172105	2.345533	0.14609993			
