x1	y1	x2	y2
1.6839993	9.905153	4.148158	1.2082952
3.4682703	5.209947	1.6839993	9.905153
1.6839993	9.905153	4.148158	1.2082952
4.148158	1.2082952	3.4682703	5.209947
3.3733172	4.080916	3.4682703	5.209947
3.4682703	5.209947	1.6839993	9.905153
1.6839993	9.905153	3.3733172	4.080916
3.3733172	4.080916	1.6839993	9.905153
1.6839993	9.905153	4.148158	1.2082952
4.148158	1.2082952	3.3733172	4.080916
3.3733172	4.080916	4.148158	1.2082952
4.148158	1.2082952	3.4682703	5.209947
3.4682703	5.209947	3.3733172	4.080916
3.4682703	5.209947	4.148158	1.2082952
1.6839993	9.905153	3.4682703	5.209947
3.3229918	8.365402	3.4682703	5.209947
1.6839993	9.905153	3.3229918	8.365402
3.3229918	8.365402	1.6839993	9.905153
1.6839993	9.905153	3.4682703	5.209947
3.4682703	5.209947	3.3229918	8.365402
0.36108613	8.522375	1.6839993	9.905153
1.6839993	9.905153	0.36108613	8.522375
4.148158	1.2082952	1.6839993	9.905153
2.345533	0.14609993	1.6839993	9.905153
2.0068984	0.035172105	2.345533	0.14609993
2.345533	0.14609993	1.6839993	9.905153
1.6839993	9.905153	2.0068984	0.035172105
2.0068984	0.035172105	1.6839993	9.905153
1.835013	3.7177224	2.0068984	0.035172105
2.0068984	0.035172105	1.6839993	9.905153
1.6839993	9.905153	1.835013	3.7177224
1.835013	3.7177224	1.6839993	9.905153
2.0068984	0.035172105	1.835013	3.7177224
2.345533	0.14609993	2.0068984	0.035172105
4.148158	1.2082952	2.345533	0.14609993
2.345533	0.14609993	4.148158	1.2082952
4.148158	1.2082952	1.6839993	9.905153
1.6839993	9.905153	2.345533	0.14609993
3.6652672	2.2435732	2.345533	0.14609993
2.345533	0.14609993	4.148158	1.2082952
4.148158	1.2082952	3.6652672	2.2435732
3.6652672	2.2435732	4.148158	1.2082952
4.148158	1.2082952	1.6839993	9.905153
1.6839993	9.905153	3.6652672	2.2435732
3.6652672	2.2435732	1.6839993	9.905153
1.6839993	9.905153	2.345533	0.14609993
2.345533	0.14609993	3.6652672	2.2435732
8.738472	2.4518304	4.148158	1.2082952
9.857284	0.32649457	8.738472	2.4518304
8.738472	2.4518304	4.148158	1.2082952
4.148158	1.2082952	9.857284	0.32649457
4.7907743	1.2445879	9.857284	0.32649457
9.857284	0.32649457	8.738472	2.4518304
8.738472	2.4518304	4.7907743	1.2445879
9.4511595	0.723685	4.7907743	1.2445879
4.7907743	1.2445879	9.857284	0.32649457
9.857284	0.32649457	9.4511595	0.723685
9.4511595	0.723685	9.857284	0.32649457
9.857284	0.32649457	8.738472	2.4518304
8.738472	2.4518304	9.4511595	0.723685
9.4511595	0.723685	8.738472	2.4518304
8.738472	2.4518304	4.7907743	1.2445879
4.7907743	1.2445879	9.4511595	0.723685
4.7907743	1.2445879	8.738472	2.4518304
8.738472	2.4518304	4.148158	1.2082952
4.148158	1.2082952	4.7907743	1.2445879
4.7907743	1.2445879	4.148158	1.2082952
4.148158	1.2082952	9.857284	0.32649457
9.857284	0.32649457	4.7907743	1.2445879
9.857284	0.32649457	4.148158	1.2082952
8.738472	2.4518304	9.857284	0.32649457
9.745382	9.655601	8.738472	2.4518304
9.309748	6.4887342	9.745382	9.655601
9.745382	9.655601	8.738472	2.4518304
8.738472	2.4518304	9.309748	6.4887342
9.309748	6.4887342	8.738472	2.4518304
9.745382	9.655601	9.309748	6.4887342
8.738472	2.4518304	9.745382	9.655601
4.148158	1.2082952	8.738472	2.4518304
7.389741	5.8858232	8.738472	2.4518304
4.148158	1.2082952	7.389741	5.8858232
5.9612823	4.5637555	7.389741	5.8858232
4.148158	1.2082952	5.9612823	4.5637555
5.4741383	4.546165	5.9612823	4.5637555
4.148158	1.2082952	5.4741383	4.546165
5.4741383	4.546165	4.148158	1.2082952
4.148158	1.2082952	5.9612823	4.5637555
5.9612823	4.5637555	5.4741383	4.546165
5.9612823	4.5637555	4.148158	1.2082952
4.148158	1.2082952	7.389741	5.8858232
7.389741	5.8858232	5.9612823	4.5637555
7.389741	5.8858232	4.148158	1.2082952
4.148158	1.2082952	8.738472	2.4518304
8.738472	2.4518304	7.389741	5.8858232
5.783095	2.0996575	7.389741	5.8858232
7.389741	5.8858232	4.148158	1.2082952
4.148158	1.2082952	5.783095	2.0996575
5.783095	2.0996575	4.148158	1.2082952
4.148158	1.2082952	8.738472	2.4518304
8.738472	2.4518304	5.783095	2.0996575
5.783095	2.0996575	8.738472	2.4518304
8.738472	2.4518304	7.389741	5.8858232
7.389741	5.8858232	5.783095	2.0996575
